# The file has the following structure:
# Filename	Experiment	Replicate	Genome	RestrictionEnzyme
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_001.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_018.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_046.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_031.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_003.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_051.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_019.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_027.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_041.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_024.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_011.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_039.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_048.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_015.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_047.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_004.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_038.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_015.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_010.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_036.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_008.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_027.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_029.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_018.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_042.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_024.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_022.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_038.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_011.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_019.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_039.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_004.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_043.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_044.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_047.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_040.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_026.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_034.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_032.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_049.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_005.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_048.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_016.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_007.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_021.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_028.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_025.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_023.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_020.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_037.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_045.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_014.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_035.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_017.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_002.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_013.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_001.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_030.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_033.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_006.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_003.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_041.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_046.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_009.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_012.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_031.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_051.hdf5	Martin	R2	hg19	HindIII
Sample_HiC_LY1_2/sam_files/HiC_LY1_2_NoIndex_L004_050.hdf5	Martin	R2	hg19	HindIII
